time,lattitude,longtitude,connection_strength_data,provider,tower_id,tide_height_m,wave_noise_component,distance_to_coast_km
2024-06-01T00:00:00,33.802637,135.159031,65.575,UQ Mobile,CST-100,0.0,0.0,0.2
2024-06-01T00:05:00,33.80232,135.141182,66.458,Pacific Wave LTE,CST-101,0.014,0.118,0.225
2024-06-01T00:10:00,33.807315,135.158273,64.557,UQ Mobile,CST-102,0.028,0.236,0.25
2024-06-01T00:15:00,33.795393,135.155221,65.981,UQ Mobile,CST-103,0.042,0.353,0.275
2024-06-01T00:20:00,33.799438,135.150021,65.698,UQ Mobile,CST-104,0.056,0.47,0.3
2024-06-01T00:25:00,33.80392,135.141369,64.605,KDDI Coastal,CST-105,0.07,0.587,0.325
2024-06-01T00:30:00,33.813066,135.150446,65.775,KDDI Coastal,CST-106,0.084,0.704,0.35
2024-06-01T00:35:00,33.807553,135.151897,66.572,Pacific Wave LTE,CST-107,0.098,0.82,0.375
2024-06-01T00:40:00,33.804092,135.149083,67.04,Pacific Wave LTE,CST-108,0.112,0.936,0.4
2024-06-01T00:45:00,33.797064,135.157575,66.305,KDDI Coastal,CST-109,0.126,1.051,0.425
2024-06-01T00:50:00,33.809665,135.156289,66.089,UQ Mobile,CST-110,0.139,1.165,0.45
2024-06-01T00:55:00,33.804341,135.145662,67.457,UQ Mobile,CST-111,0.153,1.278,0.475
2024-06-01T01:00:00,33.812691,135.159302,67.881,KDDI Coastal,CST-112,0.167,1.391,0.5
2024-06-01T01:05:00,33.812611,135.152823,67.255,UQ Mobile,CST-113,0.181,1.502,0.525
2024-06-01T01:10:00,33.807373,135.153219,67.111,Pacific Wave LTE,CST-114,0.195,1.613,0.55
2024-06-01T01:15:00,33.807618,135.157769,68.259,UQ Mobile,CST-115,0.209,1.722,0.575
2024-06-01T01:20:00,33.817619,135.153114,67.889,UQ Mobile,CST-116,0.223,1.83,0.599
2024-06-01T01:25:00,33.811745,135.144647,67.098,KDDI Coastal,CST-117,0.236,1.937,0.624
2024-06-01T01:30:00,33.812971,135.142068,67.042,Pacific Wave LTE,CST-118,0.25,2.043,0.649
2024-06-01T01:35:00,33.807956,135.158701,66.808,KDDI Coastal,CST-119,0.264,2.147,0.674
2024-06-01T01:40:00,33.807276,135.156894,69.062,Pacific Wave LTE,CST-120,0.278,2.25,0.699
2024-06-01T01:45:00,33.817533,135.142655,66.686,Pacific Wave LTE,CST-121,0.292,2.351,0.724
2024-06-01T01:50:00,33.810256,135.149723,66.58,Pacific Wave LTE,CST-122,0.305,2.451,0.749
2024-06-01T01:55:00,33.814001,135.156527,66.784,KDDI Coastal,CST-123,0.319,2.549,0.773
2024-06-01T02:00:00,33.814354,135.151404,67.944,UQ Mobile,CST-124,0.333,2.645,0.798
2024-06-01T02:05:00,33.813814,135.152415,66.827,Pacific Wave LTE,CST-100,0.346,2.739,0.823
2024-06-01T02:10:00,33.814409,135.153725,69.696,UQ Mobile,CST-101,0.36,2.832,0.848
2024-06-01T02:15:00,33.819013,135.155862,68.549,UQ Mobile,CST-102,0.374,2.923,0.872
2024-06-01T02:20:00,33.808071,135.14541,69.385,KDDI Coastal,CST-103,0.387,3.011,0.897
