time,lattitude,longtitude,connection_strength_data,provider,surface_temp_c,inversion_layer_strength,dust_index,thermal_updraft_mps
2024-05-10T05:00:00,24.269058,54.753795,57.148,Oasis Wireless,36.035,0.00023,1.282,2.72
2024-05-10T05:01:00,24.282455,54.743476,56.181,UQ Mobile,34.884,0.00024,1.47,2.54
2024-05-10T05:02:00,24.285822,54.741476,57.482,UQ Mobile,36.485,0.00025,1.156,2.579
2024-05-10T05:03:00,24.281163,54.77444,57.95,UQ Mobile,36.297,0.00025,1.079,2.712
2024-05-10T05:04:00,24.260746,54.747761,58.586,Oasis Wireless,36.252,0.00026,0.924,2.726
2024-05-10T05:05:00,24.275211,54.750497,58.148,Oasis Wireless,36.75,0.00027,1.046,2.766
2024-05-10T05:06:00,24.261555,54.743663,57.328,Oasis Wireless,36.572,0.00027,1.21,2.63
2024-05-10T05:07:00,24.285303,54.746801,57.778,UQ Mobile,36.341,0.00028,1.145,2.787
2024-05-10T05:08:00,24.288725,54.773589,58.289,UQ Mobile,36.756,0.00029,1.027,2.818
2024-05-10T05:09:00,24.270596,54.76416,57.098,Oasis Wireless,35.111,0.0003,1.282,2.674
2024-05-10T05:10:00,24.281999,54.776555,56.363,Oasis Wireless,35.991,0.00031,1.428,2.549
2024-05-10T05:11:00,24.289875,54.742093,57.908,UQ Mobile,36.082,0.00031,1.063,2.62
2024-05-10T05:12:00,24.26585,54.763431,57.788,UQ Mobile,35.63,0.00032,1.079,2.574
2024-05-10T05:13:00,24.282478,54.772259,57.863,DesertBeam,35.582,0.00033,1.124,2.787
2024-05-10T05:14:00,24.265144,54.750849,57.513,DesertBeam,35.355,0.00034,1.186,2.701
2024-05-10T05:15:00,24.293896,54.759149,57.562,DesertBeam,35.979,0.00035,1.17,2.686
2024-05-10T05:16:00,24.296398,54.77167,57.643,DesertBeam,37.03,0.00036,1.118,2.58
2024-05-10T05:17:00,24.299471,54.764706,57.947,Oasis Wireless,35.495,0.00037,1.118,2.833
2024-05-10T05:18:00,24.293515,54.765853,57.06,DesertBeam,35.775,0.00038,1.33,2.802
2024-05-10T05:19:00,24.275137,54.771652,56.916,DesertBeam,36.462,0.00039,1.332,2.687
2024-05-10T05:20:00,24.280851,54.771996,58.254,DesertBeam,35.971,0.0004,1.006,2.716
2024-05-10T05:21:00,24.26548,54.758493,57.893,Oasis Wireless,36.286,0.00041,1.165,2.944
2024-05-10T05:22:00,24.26714,54.765493,58.093,Oasis Wireless,37.266,0.00042,1.067,2.783
2024-05-10T05:23:00,24.260581,54.769313,57.904,Oasis Wireless,36.408,0.00043,1.077,2.659
2024-05-10T05:24:00,24.270729,54.764569,58.148,DesertBeam,35.954,0.00044,0.998,2.598
2024-05-10T05:25:00,24.294844,54.759253,57.369,Oasis Wireless,37.234,0.00045,1.291,2.927
2024-05-10T05:26:00,24.262557,54.76371,57.749,Oasis Wireless,36.87,0.00047,1.197,2.929
2024-05-10T05:27:00,24.298437,54.75222,58.303,Oasis Wireless,37.383,0.00048,1.015,2.782
2024-05-10T05:28:00,24.290492,54.751331,57.408,Oasis Wireless,37.138,0.00049,1.215,2.703
2024-05-10T05:29:00,24.297492,54.754211,55.993,Oasis Wireless,35.82,0.0005,1.556,2.661
2024-05-10T05:30:00,24.262259,54.75507,56.976,UQ Mobile,36.46,0.00052,1.296,2.613
2024-05-10T05:31:00,24.282384,54.75137,58.383,UQ Mobile,36.822,0.00053,0.999,2.794
2024-05-10T05:32:00,24.270894,54.745523,57.729,Oasis Wireless,37.191,0.00054,1.143,2.728
2024-05-10T05:33:00,24.268648,54.764662,58.308,UQ Mobile,36.14,0.00056,1.054,2.915
