time,lattitude,longtitude,connection_strength_data,provider,relay_chain_id,drone_altitude_m,relay_delay_ms,wind_shear_mps
2024-11-02T09:00:00,33.577086,130.411554,64.829,SkyMesh,RC-01,117.252,8.9771,2.807
2024-11-02T09:00:15,33.5887,130.418375,64.294,RelayWorks,RC-02,118.827,9.0902,3.061
2024-11-02T09:00:30,33.579216,130.413519,63.614,SkyMesh,RC-03,121.229,9.2099,2.937
2024-11-02T09:00:45,33.588165,130.416271,62.989,SkyMesh,RC-01,123.791,9.3305,2.865
2024-11-02T09:01:00,33.581138,130.421149,62.388,UQ Mobile,RC-02,121.436,9.4093,2.81
2024-11-02T09:01:15,33.584413,130.427749,61.872,RelayWorks,RC-03,121.471,9.5071,3.003
2024-11-02T09:01:30,33.574704,130.410896,61.278,SkyMesh,RC-01,123.776,9.6225,2.96
2024-11-02T09:01:45,33.585222,130.424859,60.772,SkyMesh,RC-02,127.108,9.745,2.857
2024-11-02T09:02:00,33.573813,130.426295,60.328,RelayWorks,RC-03,127.041,9.8375,3.102
2024-11-02T09:02:15,33.581424,130.418833,59.78,RelayWorks,RC-01,126.071,9.9205,3.032
2024-11-02T09:02:30,33.577463,130.411741,59.348,UQ Mobile,RC-02,126.955,10.0168,2.997
2024-11-02T09:02:45,33.570887,130.426422,59.025,UQ Mobile,RC-03,129.53,10.1248,2.838
2024-11-02T09:03:00,33.587699,130.417101,58.595,RelayWorks,RC-01,128.162,10.1973,2.926
2024-11-02T09:03:15,33.585668,130.421835,58.11,RelayWorks,RC-02,126.716,10.2663,2.751
2024-11-02T09:03:30,33.582198,130.415571,58.084,RelayWorks,RC-03,130.791,10.3784,2.7
2024-11-02T09:03:45,33.57864,130.418366,57.723,UQ Mobile,RC-01,128.856,10.4371,2.818
2024-11-02T09:04:00,33.585769,130.420983,57.672,UQ Mobile,RC-02,130.782,10.5246,2.802
2024-11-02T09:04:15,33.582366,130.416241,57.384,RelayWorks,RC-03,129.093,10.5783,2.907
2024-11-02T09:04:30,33.58322,130.422611,57.419,SkyMesh,RC-01,131.658,10.6638,2.721
2024-11-02T09:04:45,33.580487,130.423533,57.633,UQ Mobile,RC-02,134.244,10.7455,2.723
2024-11-02T09:05:00,33.588779,130.427112,57.406,SkyMesh,RC-03,132.392,10.7862,2.949
2024-11-02T09:05:15,33.580886,130.421839,57.419,SkyMesh,RC-01,133.151,10.8444,2.872
2024-11-02T09:05:30,33.578747,130.415015,57.772,SkyMesh,RC-02,136.248,10.9178,2.72
2024-11-02T09:05:45,33.588674,130.419053,57.499,SkyMesh,RC-03,134.485,10.9462,2.747
2024-11-02T09:06:00,33.576145,130.415195,57.567,UQ Mobile,RC-01,135.447,10.9928,2.589
2024-11-02T09:06:15,33.571523,130.419716,57.434,SkyMesh,RC-02,135.11,11.0239,2.428
2024-11-02T09:06:30,33.5877,130.415085,58.105,SkyMesh,RC-03,138.094,11.0779,2.769
2024-11-02T09:06:45,33.586628,130.423859,57.915,UQ Mobile,RC-01,137.257,11.0953,2.642
2024-11-02T09:07:00,33.588064,130.410279,57.666,RelayWorks,RC-02,136.655,11.1097,2.338
2024-11-02T09:07:15,33.580541,130.424911,58.274,RelayWorks,RC-03,139.284,11.1461,2.571
2024-11-02T09:07:30,33.570001,130.421483,58.145,UQ Mobile,RC-01,138.979,11.1531,2.417
2024-11-02T09:07:45,33.57592,130.427677,58.353,RelayWorks,RC-02,140.445,11.1699,2.278
2024-11-02T09:08:00,33.585909,130.422916,58.406,RelayWorks,RC-03,140.613,11.1709,2.313
2024-11-02T09:08:15,33.581782,130.420717,58.394,UQ Mobile,RC-01,140.85,11.1675,2.223
2024-11-02T09:08:30,33.582654,130.421389,58.194,UQ Mobile,RC-02,139.839,11.1487,2.237
2024-11-02T09:08:45,33.577664,130.427763,58.835,UQ Mobile,RC-03,143.508,11.1639,2.092
2024-11-02T09:09:00,33.573941,130.42049,58.415,SkyMesh,RC-01,140.955,11.1223,2.291
2024-11-02T09:09:15,33.58299,130.42115,58.937,SkyMesh,RC-02,143.91,11.1218,2.18
2024-11-02T09:09:30,33.571322,130.416094,58.327,RelayWorks,RC-03,140.911,11.0669,2.215
2024-11-02T09:09:45,33.585869,130.414522,58.809,SkyMesh,RC-01,143.881,11.0569,2.047
2024-11-02T09:10:00,33.589487,130.429264,58.789,SkyMesh,RC-02,143.694,11.016,2.091
2024-11-02T09:10:15,33.584254,130.411864,58.66,SkyMesh,RC-03,143.375,10.9695,1.996
2024-11-02T09:10:30,33.575087,130.419853,58.533,UQ Mobile,RC-01,142.936,10.9176,1.918
2024-11-02T09:10:45,33.5896,130.412715,58.593,SkyMesh,RC-02,143.246,10.8675,1.871
2024-11-02T09:11:00,33.58242,130.413427,58.593,UQ Mobile,RC-03,142.267,10.8026,2.066
2024-11-02T09:11:15,33.572803,130.413341,59.393,RelayWorks,RC-01,146.444,10.7765,1.911
2024-11-02T09:11:30,33.5868,130.41371,59.293,UQ Mobile,RC-02,146.014,10.7082,1.763
2024-11-02T09:11:45,33.576482,130.42254,58.956,SkyMesh,RC-03,143.185,10.6162,1.868
2024-11-02T09:12:00,33.572341,130.410009,58.646,SkyMesh,RC-01,141.928,10.5337,1.531
2024-11-02T09:12:15,33.588552,130.429243,59.972,UQ Mobile,RC-02,146.594,10.4971,1.855
2024-11-02T09:12:30,33.586261,130.42033,60.155,SkyMesh,RC-03,146.613,10.4187,1.771
2024-11-02T09:12:45,33.571393,130.418733,60.454,SkyMesh,RC-01,146.803,10.3387,1.744
2024-11-02T09:13:00,33.589898,130.413806,60.225,UQ Mobile,RC-02,144.317,10.2336,1.609
2024-11-02T09:13:15,33.586399,130.412058,60.385,SkyMesh,RC-03,143.134,10.1368,1.589
2024-11-02T09:13:30,33.581667,130.424417,60.823,RelayWorks,RC-01,143.365,10.0495,1.562
2024-11-02T09:13:45,33.580832,130.412998,61.372,SkyMesh,RC-02,145.179,9.9731,1.309
2024-11-02T09:14:00,33.580482,130.429177,61.693,UQ Mobile,RC-03,145.185,9.8798,1.116
2024-11-02T09:14:15,33.575821,130.427679,62.748,UQ Mobile,RC-01,147.841,9.807,1.199
2024-11-02T09:14:30,33.575393,130.421523,62.501,RelayWorks,RC-02,142.391,9.6651,1.316
2024-11-02T09:14:45,33.574778,130.412269,63.214,RelayWorks,RC-03,143.474,9.5765,1.284
2024-11-02T09:15:00,33.579015,130.411939,63.819,UQ Mobile,RC-01,145.198,9.4922,0.996
2024-11-02T09:15:15,33.580975,130.410039,64.106,UQ Mobile,RC-02,142.124,9.3673,1.185
2024-11-02T09:15:30,33.583606,130.424584,64.889,RelayWorks,RC-03,145.22,9.2933,0.86
2024-11-02T09:15:45,33.570084,130.428334,65.518,RelayWorks,RC-01,144.379,9.1863,1.051
2024-11-02T09:16:00,33.580204,130.424592,66.294,UQ Mobile,RC-02,146.443,9.1036,0.896
2024-11-02T09:16:15,33.577812,130.424187,65.91,RelayWorks,RC-03,141.744,8.9648,0.71
2024-11-02T09:16:30,33.572748,130.427937,66.929,RelayWorks,RC-01,145.315,8.8955,0.627
2024-11-02T09:16:45,33.585704,130.413394,66.721,SkyMesh,RC-02,141.005,8.7612,0.629
2024-11-02T09:17:00,33.576715,130.427098,67.387,UQ Mobile,RC-03,141.52,8.6682,0.779
2024-11-02T09:17:15,33.575117,130.421897,67.359,SkyMesh,RC-01,140.268,8.5618,0.542
2024-11-02T09:17:30,33.584604,130.429274,68.798,RelayWorks,RC-02,145.628,8.512,0.714
2024-11-02T09:17:45,33.573799,130.423143,68.331,RelayWorks,RC-03,141.564,8.3854,0.656
2024-11-02T09:18:00,33.573305,130.418681,68.436,SkyMesh,RC-01,142.465,8.3022,0.34
2024-11-02T09:18:15,33.58843,130.413393,68.707,RelayWorks,RC-02,141.634,8.2067,0.557
2024-11-02T09:18:30,33.581852,130.417825,68.511,RelayWorks,RC-03,140.346,8.1099,0.431
2024-11-02T09:18:45,33.582307,130.418004,69.317,RelayWorks,RC-01,143.995,8.0568,0.441
2024-11-02T09:19:00,33.57883,130.415733,68.075,RelayWorks,RC-02,137.754,7.9242,0.281
2024-11-02T09:19:15,33.582006,130.411496,68.544,RelayWorks,RC-03,140.462,7.8693,0.246
2024-11-02T09:19:30,33.576546,130.410271,68.181,UQ Mobile,RC-01,139.753,7.7891,0.027
2024-11-02T09:19:45,33.580234,130.412676,68.559,RelayWorks,RC-02,141.142,7.7298,0.177
2024-11-02T09:20:00,33.572798,130.428531,67.761,UQ Mobile,RC-03,139.215,7.6465,-0.178
2024-11-02T09:20:15,33.58181,130.421227,67.738,UQ Mobile,RC-01,139.689,7.587,-0.204
2024-11-02T09:20:30,33.580466,130.418437,67.57,RelayWorks,RC-02,139.287,7.5242,-0.188
2024-11-02T09:20:45,33.589385,130.415654,67.684,UQ Mobile,RC-03,140.067,7.4753,-0.116
2024-11-02T09:21:00,33.575915,130.427275,66.948,UQ Mobile,RC-01,136.686,7.3959,-0.064
2024-11-02T09:21:15,33.580259,130.411696,66.291,RelayWorks,RC-02,135.027,7.3352,-0.288
2024-11-02T09:21:30,33.571045,130.419774,65.624,SkyMesh,RC-03,133.164,7.2774,-0.506
2024-11-02T09:21:45,33.578898,130.418863,65.942,RelayWorks,RC-01,135.913,7.2625,-0.549
2024-11-02T09:22:00,33.574335,130.427811,65.173,SkyMesh,RC-02,131.875,7.1958,-0.501
2024-11-02T09:22:15,33.585421,130.429256,65.501,SkyMesh,RC-03,133.35,7.1797,-0.31
2024-11-02T09:22:30,33.589835,130.422233,64.821,SkyMesh,RC-01,132.32,7.1476,-0.737
2024-11-02T09:22:45,33.575935,130.417242,65.619,SkyMesh,RC-02,135.457,7.1551,-0.41
2024-11-02T09:23:00,33.587602,130.420148,64.902,UQ Mobile,RC-03,133.017,7.1211,-0.641
2024-11-02T09:23:15,33.575519,130.411715,64.873,UQ Mobile,RC-01,133.228,7.1141,-0.671
2024-11-02T09:23:30,33.589007,130.417319,64.389,RelayWorks,RC-02,131.819,7.0986,-0.917
2024-11-02T09:23:45,33.587786,130.410691,64.606,SkyMesh,RC-03,131.927,7.1008,-0.713
2024-11-02T09:24:00,33.574289,130.422456,64.256,RelayWorks,RC-01,131.092,7.1001,-0.97
2024-11-02T09:24:15,33.574143,130.429758,63.962,UQ Mobile,RC-02,129.372,7.097,-1.062
2024-11-02T09:24:30,33.576373,130.429573,63.746,UQ Mobile,RC-03,127.083,7.0941,-1.042
2024-11-02T09:24:45,33.578288,130.410932,63.818,SkyMesh,RC-01,124.714,7.0955,-0.777
2024-11-02T09:25:00,33.580338,130.414328,63.756,RelayWorks,RC-02,126.013,7.1323,-1.105
2024-11-02T09:25:15,33.574799,130.42205,64.037,SkyMesh,RC-03,127.373,7.1743,-1.099
2024-11-02T09:25:30,33.579709,130.422944,63.777,UQ Mobile,RC-01,124.322,7.1844,-1.174
2024-11-02T09:25:45,33.588485,130.418387,64.055,UQ Mobile,RC-02,125.384,7.2333,-1.139
2024-11-02T09:26:00,33.589507,130.414374,64.081,SkyMesh,RC-03,124.712,7.2724,-1.207
2024-11-02T09:26:15,33.580459,130.420506,64.253,UQ Mobile,RC-01,123.111,7.3081,-1.04
2024-11-02T09:26:30,33.577176,130.415459,64.507,UQ Mobile,RC-02,124.699,7.3746,-1.076
2024-11-02T09:26:45,33.583146,130.428645,64.588,SkyMesh,RC-03,124.274,7.4286,-1.114
2024-11-02T09:27:00,33.586949,130.413454,64.406,UQ Mobile,RC-01,119.957,7.4541,-1.187
2024-11-02T09:27:15,33.581885,130.420622,64.53,RelayWorks,RC-02,123.553,7.5494,-1.43
2024-11-02T09:27:30,33.588769,130.421745,64.595,UQ Mobile,RC-03,120.691,7.5947,-1.303
2024-11-02T09:27:45,33.572893,130.426191,64.639,RelayWorks,RC-01,118.208,7.6466,-1.291
2024-11-02T09:28:00,33.581907,130.424761,64.445,SkyMesh,RC-02,119.975,7.7373,-1.659
2024-11-02T09:28:15,33.577168,130.414461,64.643,RelayWorks,RC-03,119.404,7.8116,-1.444
2024-11-02T09:28:30,33.575609,130.417592,64.523,UQ Mobile,RC-01,116.504,7.8695,-1.592
2024-11-02T09:28:45,33.578724,130.414545,64.431,RelayWorks,RC-02,115.319,7.9444,-1.706
2024-11-02T09:29:00,33.582237,130.423949,64.377,UQ Mobile,RC-03,114.406,8.0242,-1.73
2024-11-02T09:29:15,33.579204,130.413822,64.322,UQ Mobile,RC-01,112.227,8.0957,-1.81
2024-11-02T09:29:30,33.589638,130.412841,64.233,SkyMesh,RC-02,113.569,8.1987,-1.612
2024-11-02T09:29:45,33.578657,130.412498,63.895,RelayWorks,RC-03,115.692,8.31,-1.629
2024-11-02T09:30:00,33.582158,130.429427,63.579,RelayWorks,RC-01,115.049,8.3999,-1.722
2024-11-02T09:30:15,33.573525,130.410522,63.562,SkyMesh,RC-02,109.954,8.4541,-1.853
2024-11-02T09:30:30,33.584944,130.427713,62.802,UQ Mobile,RC-03,113.598,8.5823,-1.96
2024-11-02T09:30:45,33.572612,130.422401,62.617,RelayWorks,RC-01,113.04,8.6764,-1.708
2024-11-02T09:31:00,33.574201,130.424908,62.326,UQ Mobile,RC-02,111.405,8.7622,-1.69
2024-11-02T09:31:15,33.582161,130.420815,62.205,UQ Mobile,RC-03,107.883,8.8327,-1.754
2024-11-02T09:31:30,33.587672,130.422188,61.76,RelayWorks,RC-01,106.213,8.9187,-1.992
2024-11-02T09:31:45,33.581533,130.419173,60.994,UQ Mobile,RC-02,109.263,9.0441,-1.718
2024-11-02T09:32:00,33.572429,130.420769,60.963,RelayWorks,RC-03,105.141,9.1093,-1.81
2024-11-02T09:32:15,33.573366,130.416896,60.577,RelayWorks,RC-01,104.103,9.1996,-1.796
2024-11-02T09:32:30,33.581352,130.417554,59.313,RelayWorks,RC-02,108.007,9.3303,-1.887
2024-11-02T09:32:45,33.578777,130.424379,58.965,SkyMesh,RC-03,106.698,9.4165,-1.831
2024-11-02T09:33:00,33.583415,130.418709,58.202,RelayWorks,RC-01,108.234,9.525,-1.783
2024-11-02T09:33:15,33.585827,130.41354,58.678,SkyMesh,RC-02,101.824,9.5658,-1.825
2024-11-02T09:33:30,33.574151,130.41283,58.019,RelayWorks,RC-03,101.334,9.6541,-2.128
2024-11-02T09:33:45,33.572705,130.421841,57.133,SkyMesh,RC-01,103.156,9.7597,-2.164
2024-11-02T09:34:00,33.587759,130.420731,57.335,SkyMesh,RC-02,100.617,9.8267,-1.85
2024-11-02T09:34:15,33.579371,130.416824,56.731,UQ Mobile,RC-03,100.683,9.9129,-2.031
2024-11-02T09:34:30,33.588151,130.411231,56.356,UQ Mobile,RC-01,100.932,9.998,-1.884
2024-11-02T09:34:45,33.589392,130.425047,55.654,SkyMesh,RC-02,102.502,10.0912,-1.913
2024-11-02T09:35:00,33.587454,130.4281,55.546,RelayWorks,RC-03,101.187,10.1572,-1.903
2024-11-02T09:35:15,33.57014,130.426173,55.205,UQ Mobile,RC-01,100.571,10.2258,-2.104
2024-11-02T09:35:30,33.584152,130.410491,55.145,RelayWorks,RC-02,100.132,10.2924,-1.899
2024-11-02T09:35:45,33.572994,130.422236,54.774,RelayWorks,RC-03,100.177,10.3594,-2.064
2024-11-02T09:36:00,33.58431,130.41533,54.618,UQ Mobile,RC-01,99.591,10.4173,-2.142
2024-11-02T09:36:15,33.587241,130.425101,54.925,UQ Mobile,RC-02,98.091,10.4636,-1.841
2024-11-02T09:36:30,33.574103,130.418667,54.483,RelayWorks,RC-03,98.379,10.5207,-2.176
