time,lattitude,longtitude,connection_strength_data,provider,line_id,machine_cycle_phase,power_draw_kw,harmonic_spike_db
2024-04-01T06:00:00,34.709494,135.291158,68.208,UQ Mobile,L-02,0.0,419.58,5.0
2024-04-01T06:00:30,34.709263,135.288564,67.441,UQ Mobile,L-05,0.10472,427.884,11.18
2024-04-01T06:01:00,34.711563,135.291137,65.343,FactoryGrid,L-02,0.20944,437.965,16.756
2024-04-01T06:01:30,34.709224,135.289103,66.561,SmartPlant Mobile,L-02,0.31416,443.037,21.18
2024-04-01T06:02:00,34.708942,135.289551,63.266,UQ Mobile,L-06,0.41888,448.562,24.021
2024-04-01T06:02:30,34.709636,135.288294,62.828,SmartPlant Mobile,L-06,0.5236,456.437,25.0
2024-04-01T06:03:00,34.709441,135.289834,64.614,SmartPlant Mobile,L-05,0.62832,471.263,24.021
2024-04-01T06:03:30,34.710897,135.288449,65.354,FactoryGrid,L-02,0.73304,469.405,21.18
2024-04-01T06:04:00,34.708815,135.289273,64.857,SmartPlant Mobile,L-06,0.83776,476.027,16.756
2024-04-01T06:04:30,34.710657,135.290859,65.189,SmartPlant Mobile,L-01,0.94248,488.764,11.18
2024-04-01T06:05:00,34.710922,135.291805,66.705,FactoryGrid,L-02,1.0472,488.644,5.0
2024-04-01T06:05:30,34.709705,135.288652,66.048,SmartPlant Mobile,L-06,1.15192,491.344,-1.18
2024-04-01T06:06:00,34.710606,135.288166,66.836,SmartPlant Mobile,L-02,1.25664,492.599,-6.756
2024-04-01T06:06:30,34.711863,135.291743,66.676,FactoryGrid,L-06,1.36136,493.858,-11.18
2024-04-01T06:07:00,34.708163,135.289133,67.599,FactoryGrid,L-02,1.46608,501.082,-14.021
2024-04-01T06:07:30,34.708334,135.289681,68.497,UQ Mobile,L-05,1.5708,503.561,-15.0
2024-04-01T06:08:00,34.709711,135.288278,66.787,UQ Mobile,L-02,1.67552,496.178,-14.021
2024-04-01T06:08:30,34.709696,135.289749,64.229,FactoryGrid,L-05,1.78024,499.497,-11.18
2024-04-01T06:09:00,34.70859,135.289612,63.541,UQ Mobile,L-06,1.88496,492.65,-6.756
2024-04-01T06:09:30,34.711439,135.290944,61.279,FactoryGrid,L-02,1.98968,489.901,-1.18
2024-04-01T06:10:00,34.708616,135.288225,58.906,FactoryGrid,L-02,2.0944,486.276,5.0
2024-04-01T06:10:30,34.711032,135.289326,57.624,FactoryGrid,L-02,2.19911,488.975,11.18
2024-04-01T06:11:00,34.709945,135.290937,57.557,SmartPlant Mobile,L-01,2.30383,478.098,16.756
2024-04-01T06:11:30,34.709711,135.291117,53.978,UQ Mobile,L-02,2.40855,473.131,21.18
2024-04-01T06:12:00,34.710589,135.290755,55.762,FactoryGrid,L-05,2.51327,471.999,24.021
2024-04-01T06:12:30,34.708514,135.29085,53.29,SmartPlant Mobile,L-01,2.61799,456.656,25.0
2024-04-01T06:13:00,34.711857,135.289794,54.088,UQ Mobile,L-06,2.72271,457.113,24.021
2024-04-01T06:13:30,34.711189,135.290526,54.314,SmartPlant Mobile,L-05,2.82743,446.72,21.18
2024-04-01T06:14:00,34.709527,135.290099,53.986,FactoryGrid,L-05,2.93215,431.804,16.756
2024-04-01T06:14:30,34.708733,135.290629,54.529,SmartPlant Mobile,L-02,3.03687,427.296,11.18
2024-04-01T06:15:00,34.708533,135.291317,58.018,SmartPlant Mobile,L-02,3.14159,416.81,5.0
2024-04-01T06:15:30,34.710497,135.291188,59.052,SmartPlant Mobile,L-01,3.24631,408.678,-1.18
2024-04-01T06:16:00,34.708059,135.290082,59.818,UQ Mobile,L-02,3.35103,400.473,-6.756
2024-04-01T06:16:30,34.710098,135.289138,62.025,FactoryGrid,L-01,3.45575,393.71,-11.18
2024-04-01T06:17:00,34.711706,135.291031,62.008,UQ Mobile,L-01,3.56047,392.436,-14.021
2024-04-01T06:17:30,34.708193,135.288636,60.814,UQ Mobile,L-01,3.66519,377.015,-15.0
2024-04-01T06:18:00,34.710415,135.291429,62.053,SmartPlant Mobile,L-02,3.76991,377.491,-14.021
2024-04-01T06:18:30,34.709923,135.288278,62.578,SmartPlant Mobile,L-01,3.87463,361.922,-11.18
2024-04-01T06:19:00,34.708392,135.290464,61.442,FactoryGrid,L-01,3.97935,361.97,-6.756
2024-04-01T06:19:30,34.711252,135.290214,61.515,FactoryGrid,L-06,4.08407,356.261,-1.18
2024-04-01T06:20:00,34.711459,135.288687,60.001,FactoryGrid,L-01,4.18879,345.747,5.0
2024-04-01T06:20:30,34.710667,135.290268,59.868,UQ Mobile,L-05,4.29351,346.481,11.18
2024-04-01T06:21:00,34.710606,135.291108,58.964,SmartPlant Mobile,L-06,4.39823,340.732,16.756
2024-04-01T06:21:30,34.70944,135.288062,59.526,UQ Mobile,L-06,4.50295,337.993,21.18
2024-04-01T06:22:00,34.708891,135.288295,57.69,SmartPlant Mobile,L-01,4.60767,337.222,24.021
2024-04-01T06:22:30,34.708388,135.290217,58.855,FactoryGrid,L-01,4.71239,340.867,25.0
2024-04-01T06:23:00,34.70982,135.290803,60.274,UQ Mobile,L-01,4.81711,342.675,24.021
2024-04-01T06:23:30,34.711959,135.291414,60.351,FactoryGrid,L-06,4.92183,338.219,21.18
2024-04-01T06:24:00,34.71197,135.290247,63.687,SmartPlant Mobile,L-05,5.02655,340.838,16.756
2024-04-01T06:24:30,34.711737,135.291961,64.905,FactoryGrid,L-06,5.13127,345.008,11.18
2024-04-01T06:25:00,34.710921,135.290999,65.977,UQ Mobile,L-06,5.23599,347.717,5.0
2024-04-01T06:25:30,34.709838,135.291385,66.546,SmartPlant Mobile,L-02,5.34071,355.745,-1.18
2024-04-01T06:26:00,34.709921,135.29061,70.807,SmartPlant Mobile,L-06,5.44543,364.218,-6.756
2024-04-01T06:26:30,34.710915,135.290096,71.476,SmartPlant Mobile,L-06,5.55015,366.794,-11.18
2024-04-01T06:27:00,34.709894,135.291567,71.548,SmartPlant Mobile,L-01,5.65487,374.58,-14.021
2024-04-01T06:27:30,34.709127,135.291879,73.695,SmartPlant Mobile,L-02,5.75959,376.722,-15.0
2024-04-01T06:28:00,34.711059,135.290798,71.262,UQ Mobile,L-05,5.86431,390.52,-14.021
2024-04-01T06:28:30,34.710919,135.290472,71.231,FactoryGrid,L-02,5.96903,392.897,-11.18
2024-04-01T06:29:00,34.711958,135.290725,72.25,UQ Mobile,L-02,6.07375,402.307,-6.756
2024-04-01T06:29:30,34.708585,135.290095,71.198,FactoryGrid,L-02,6.17847,407.818,-1.18
2024-04-01T06:30:00,34.710398,135.291062,68.743,SmartPlant Mobile,L-01,0.0,415.746,5.0
2024-04-01T06:30:30,34.708459,135.290877,68.227,SmartPlant Mobile,L-01,0.10472,429.944,11.18
2024-04-01T06:31:00,34.70867,135.289911,65.637,UQ Mobile,L-06,0.20944,440.257,16.756
2024-04-01T06:31:30,34.71149,135.289558,65.324,UQ Mobile,L-05,0.31416,448.628,21.18
2024-04-01T06:32:00,34.709137,135.288176,65.045,FactoryGrid,L-02,0.41888,457.505,24.021
2024-04-01T06:32:30,34.709055,135.288346,65.369,SmartPlant Mobile,L-01,0.5236,459.265,25.0
2024-04-01T06:33:00,34.710336,135.289141,65.216,UQ Mobile,L-06,0.62832,462.035,24.021
2024-04-01T06:33:30,34.710839,135.291748,62.787,SmartPlant Mobile,L-06,0.73304,478.335,21.18
2024-04-01T06:34:00,34.711788,135.291736,65.379,SmartPlant Mobile,L-05,0.83776,480.194,16.756
2024-04-01T06:34:30,34.710401,135.291149,66.41,FactoryGrid,L-01,0.94248,487.356,11.18
2024-04-01T06:35:00,34.70829,135.288818,66.708,SmartPlant Mobile,L-01,1.0472,487.934,5.0
2024-04-01T06:35:30,34.708167,135.289377,66.972,UQ Mobile,L-06,1.15192,489.569,-1.18
2024-04-01T06:36:00,34.711567,135.28843,66.035,SmartPlant Mobile,L-02,1.25664,499.678,-6.756
2024-04-01T06:36:30,34.711449,135.291084,66.253,UQ Mobile,L-06,1.36136,500.072,-11.18
2024-04-01T06:37:00,34.709308,135.289711,66.391,SmartPlant Mobile,L-06,1.46608,502.486,-14.021
2024-04-01T06:37:30,34.709575,135.291205,68.186,SmartPlant Mobile,L-02,1.5708,500.067,-15.0
2024-04-01T06:38:00,34.708759,135.290352,65.708,UQ Mobile,L-05,1.67552,496.23,-14.021
2024-04-01T06:38:30,34.709759,135.288963,63.489,UQ Mobile,L-02,1.78024,498.481,-11.18
2024-04-01T06:39:00,34.70991,135.29107,63.341,FactoryGrid,L-01,1.88496,493.873,-6.756
2024-04-01T06:39:30,34.710201,135.29089,62.624,FactoryGrid,L-05,1.98968,491.585,-1.18
2024-04-01T06:40:00,34.711934,135.291935,58.864,UQ Mobile,L-05,2.0944,491.684,5.0
2024-04-01T06:40:30,34.710202,135.291814,58.222,SmartPlant Mobile,L-06,2.19911,487.617,11.18
2024-04-01T06:41:00,34.708572,135.291074,55.991,UQ Mobile,L-06,2.30383,483.424,16.756
2024-04-01T06:41:30,34.711853,135.291673,53.81,SmartPlant Mobile,L-01,2.40855,476.737,21.18
2024-04-01T06:42:00,34.71183,135.291503,53.778,FactoryGrid,L-02,2.51327,469.475,24.021
2024-04-01T06:42:30,34.708133,135.291769,53.921,FactoryGrid,L-02,2.61799,455.907,25.0
2024-04-01T06:43:00,34.709668,135.288018,52.316,SmartPlant Mobile,L-01,2.72271,456.818,24.021
2024-04-01T06:43:30,34.70987,135.290071,54.607,SmartPlant Mobile,L-06,2.82743,445.881,21.18
2024-04-01T06:44:00,34.711991,135.290523,55.559,SmartPlant Mobile,L-05,2.93215,432.82,16.756
2024-04-01T06:44:30,34.709503,135.289924,55.73,SmartPlant Mobile,L-01,3.03687,433.324,11.18
2024-04-01T06:45:00,34.708834,135.291133,58.081,SmartPlant Mobile,L-02,3.14159,423.39,5.0
2024-04-01T06:45:30,34.709654,135.290852,58.382,FactoryGrid,L-02,3.24631,415.621,-1.18
2024-04-01T06:46:00,34.711664,135.291515,59.446,SmartPlant Mobile,L-02,3.35103,400.43,-6.756
2024-04-01T06:46:30,34.708249,135.291975,60.088,FactoryGrid,L-06,3.45575,397.369,-11.18
2024-04-01T06:47:00,34.709265,135.288854,62.654,SmartPlant Mobile,L-05,3.56047,386.054,-14.021
2024-04-01T06:47:30,34.709678,135.290642,62.785,UQ Mobile,L-02,3.66519,382.338,-15.0
2024-04-01T06:48:00,34.711026,135.291647,62.353,FactoryGrid,L-05,3.76991,375.306,-14.021
2024-04-01T06:48:30,34.708597,135.288503,60.334,FactoryGrid,L-01,3.87463,365.37,-11.18
