time,lattitude,longtitude,connection_strength_data,provider,event_phase,roaming_users_ratio,temporary_cell_id,crowd_noise_index
2024-10-05T08:00:00,34.690735,135.514064,52.678,UQ Mobile,setup,0.2009,TMP-11,47.248
2024-10-05T08:00:45,34.692533,135.513443,41.952,WavePop,doors_open,0.5059,TMP-11,53.356
2024-10-05T08:01:30,34.685095,135.505758,9.583,WavePop,headliner,1.0013,TMP-03,64.227
2024-10-05T08:02:15,34.685828,135.509843,32.793,WavePop,afterparty,0.6778,TMP-17,59.856
2024-10-05T08:03:00,34.689004,135.509068,52.469,UQ Mobile,setup,0.201,TMP-04,47.277
2024-10-05T08:03:45,34.694981,135.51118,41.546,WavePop,doors_open,0.5205,TMP-17,51.805
2024-10-05T08:04:30,34.691662,135.508726,12.827,UQ Mobile,headliner,0.9701,TMP-06,66.395
2024-10-05T08:05:15,34.694826,135.510468,30.961,FestivalNet,afterparty,0.7254,TMP-01,59.302
2024-10-05T08:06:00,34.690512,135.511511,51.426,FestivalNet,setup,0.2223,TMP-17,47.971
2024-10-05T08:06:45,34.69389,135.506935,44.013,UQ Mobile,doors_open,0.4768,TMP-13,51.755
2024-10-05T08:07:30,34.689101,135.514153,8.765,UQ Mobile,headliner,1.0263,TMP-11,62.179
2024-10-05T08:08:15,34.691123,135.513664,31.901,UQ Mobile,afterparty,0.683,TMP-18,59.271
2024-10-05T08:09:00,34.686109,135.513658,52.918,WavePop,setup,0.2297,TMP-11,44.264
2024-10-05T08:09:45,34.692946,135.510671,43.504,WavePop,doors_open,0.4871,TMP-03,51.496
2024-10-05T08:10:30,34.686491,135.512535,8.913,WavePop,headliner,1.0133,TMP-16,62.856
2024-10-05T08:11:15,34.692087,135.511279,30.989,WavePop,afterparty,0.7168,TMP-10,58.827
2024-10-05T08:12:00,34.68728,135.506212,52.429,UQ Mobile,setup,0.2253,TMP-12,47.35
2024-10-05T08:12:45,34.691408,135.508196,41.18,FestivalNet,doors_open,0.5259,TMP-16,51.919
2024-10-05T08:13:30,34.690546,135.510668,9.539,FestivalNet,headliner,1.0116,TMP-04,64.47
2024-10-05T08:14:15,34.690008,135.511808,30.358,FestivalNet,afterparty,0.73,TMP-04,58.932
2024-10-05T08:15:00,34.692327,135.51364,51.988,FestivalNet,setup,0.2205,TMP-04,43.338
2024-10-05T08:15:45,34.690121,135.511258,44.01,FestivalNet,doors_open,0.47,TMP-14,51.234
2024-10-05T08:16:30,34.691255,135.513608,12.955,WavePop,headliner,0.974,TMP-11,63.611
2024-10-05T08:17:15,34.687126,135.509442,32.163,WavePop,afterparty,0.6902,TMP-18,59.849
2024-10-05T08:18:00,34.693745,135.505759,51.798,UQ Mobile,setup,0.1949,TMP-13,45.72
2024-10-05T08:18:45,34.691412,135.507814,41.242,WavePop,doors_open,0.5176,TMP-06,54.118
2024-10-05T08:19:30,34.691982,135.508926,8.787,FestivalNet,headliner,1.0128,TMP-04,63.466
2024-10-05T08:20:15,34.692482,135.510779,30.11,WavePop,afterparty,0.7119,TMP-09,59.115
2024-10-05T08:21:00,34.686743,135.510457,52.637,FestivalNet,setup,0.1953,TMP-09,47.009
2024-10-05T08:21:45,34.694719,135.510137,43.713,UQ Mobile,doors_open,0.4736,TMP-15,51.989
2024-10-05T08:22:30,34.689897,135.507335,12.318,UQ Mobile,headliner,0.9728,TMP-12,62.405
2024-10-05T08:23:15,34.689936,135.509831,33.818,WavePop,afterparty,0.6891,TMP-16,54.663
2024-10-05T08:24:00,34.685654,135.508045,53.08,WavePop,setup,0.1792,TMP-09,45.009
2024-10-05T08:24:45,34.691169,135.511247,41.97,WavePop,doors_open,0.4827,TMP-11,54.222
2024-10-05T08:25:30,34.686817,135.506942,9.245,FestivalNet,headliner,1.0066,TMP-15,65.503
2024-10-05T08:26:15,34.686474,135.511132,31.315,UQ Mobile,afterparty,0.7063,TMP-02,58.37
2024-10-05T08:27:00,34.694066,135.512319,52.894,UQ Mobile,setup,0.2228,TMP-16,43.02
2024-10-05T08:27:45,34.688842,135.513568,42.27,WavePop,doors_open,0.5169,TMP-13,53.247
2024-10-05T08:28:30,34.690323,135.514601,8.621,UQ Mobile,headliner,1.004,TMP-14,67.395
2024-10-05T08:29:15,34.692075,135.512614,30.718,FestivalNet,afterparty,0.7022,TMP-17,57.843
2024-10-05T08:30:00,34.692881,135.508484,52.286,WavePop,setup,0.1705,TMP-08,43.532
2024-10-05T08:30:45,34.692347,135.514007,42.83,UQ Mobile,doors_open,0.5072,TMP-09,51.418
2024-10-05T08:31:30,34.691711,135.506145,11.994,WavePop,headliner,0.978,TMP-11,66.973
2024-10-05T08:32:15,34.690254,135.514817,33.478,UQ Mobile,afterparty,0.6898,TMP-05,57.335
2024-10-05T08:33:00,34.688755,135.507437,53.306,FestivalNet,setup,0.1714,TMP-17,42.644
2024-10-05T08:33:45,34.68536,135.514612,42.227,UQ Mobile,doors_open,0.4929,TMP-02,54.561
2024-10-05T08:34:30,34.693071,135.513063,11.723,UQ Mobile,headliner,0.9899,TMP-15,63.944
2024-10-05T08:35:15,34.689659,135.507699,29.989,FestivalNet,afterparty,0.7073,TMP-01,60.114
2024-10-05T08:36:00,34.690994,135.512454,53.22,UQ Mobile,setup,0.1849,TMP-04,43.895
2024-10-05T08:36:45,34.692571,135.510718,42.275,FestivalNet,doors_open,0.5222,TMP-09,53.761
2024-10-05T08:37:30,34.68945,135.508209,9.107,FestivalNet,headliner,1.0202,TMP-19,63.267
2024-10-05T08:38:15,34.68616,135.506925,33.209,UQ Mobile,afterparty,0.6768,TMP-07,58.283
2024-10-05T08:39:00,34.689423,135.508377,53.0,FestivalNet,setup,0.1917,TMP-18,46.374
2024-10-05T08:39:45,34.686795,135.512894,41.293,WavePop,doors_open,0.4975,TMP-20,55.454
2024-10-05T08:40:30,34.687616,135.507896,9.459,FestivalNet,headliner,1.0145,TMP-04,63.454
2024-10-05T08:41:15,34.689474,135.514442,30.556,WavePop,afterparty,0.7059,TMP-15,58.597
2024-10-05T08:42:00,34.685647,135.512098,51.556,WavePop,setup,0.219,TMP-07,47.884
2024-10-05T08:42:45,34.686322,135.511388,42.252,WavePop,doors_open,0.5106,TMP-11,52.625
2024-10-05T08:43:30,34.691106,135.511424,10.252,WavePop,headliner,0.9904,TMP-20,67.924
2024-10-05T08:44:15,34.687496,135.512975,31.864,UQ Mobile,afterparty,0.7088,TMP-01,55.351
2024-10-05T08:45:00,34.687706,135.513943,53.314,FestivalNet,setup,0.201,TMP-05,44.378
2024-10-05T08:45:45,34.688232,135.51089,41.244,FestivalNet,doors_open,0.523,TMP-19,50.202
2024-10-05T08:46:30,34.687086,135.509044,9.953,UQ Mobile,headliner,0.995,TMP-11,66.454
2024-10-05T08:47:15,34.685646,135.510864,32.666,UQ Mobile,afterparty,0.6735,TMP-04,60.213
2024-10-05T08:48:00,34.686058,135.506377,52.88,FestivalNet,setup,0.2035,TMP-05,45.438
2024-10-05T08:48:45,34.691779,135.507452,40.419,UQ Mobile,doors_open,0.5194,TMP-02,54.784
2024-10-05T08:49:30,34.691251,135.505707,10.459,WavePop,headliner,1.0074,TMP-15,63.987
2024-10-05T08:50:15,34.694498,135.51355,30.594,WavePop,afterparty,0.7054,TMP-17,58.015
2024-10-05T08:51:00,34.685469,135.509381,53.33,FestivalNet,setup,0.1811,TMP-14,43.168
2024-10-05T08:51:45,34.690239,135.506232,42.505,FestivalNet,doors_open,0.4832,TMP-17,54.792
2024-10-05T08:52:30,34.689992,135.514526,12.577,FestivalNet,headliner,0.9816,TMP-09,64.206
2024-10-05T08:53:15,34.686655,135.510062,31.962,WavePop,afterparty,0.71,TMP-13,58.449
2024-10-05T08:54:00,34.692619,135.506531,52.54,FestivalNet,setup,0.1789,TMP-02,46.356
