time,lattitude,longtitude,connection_strength_data,provider,station_name,train_velocity_kmh,repeater_gain_db,tunnel_depth_m
2024-02-14T05:00:00,35.689893,139.763303,61.789,SubwayNet,Sora,29.272,18.5,24.646
2024-02-14T05:00:20,35.690966,139.75942,61.031,SubwayNet,Hinode,30.723,18.397,25.376
2024-02-14T05:00:40,35.691099,139.762266,60.109,UQ Mobile,Kiba,31.988,18.313,26.004
2024-02-14T05:01:00,35.687032,139.762188,61.045,SubwayNet,Asahi,34.4,17.686,24.8
2024-02-14T05:01:20,35.69054,139.762019,61.016,UQ Mobile,Mori,33.559,17.831,24.882
2024-02-14T05:01:40,35.687121,139.759445,59.184,SubwayNet,Ayame,37.522,17.598,26.583
2024-02-14T05:02:00,35.688977,139.757948,59.505,UQ Mobile,Sora,36.037,17.7,26.048
2024-02-14T05:02:20,35.689214,139.761116,59.652,UQ Mobile,Hinode,36.414,17.812,26.901
2024-02-14T05:02:40,35.687073,139.758799,59.973,SubwayNet,Kiba,39.778,17.082,25.397
2024-02-14T05:03:00,35.688623,139.763501,58.494,TunnelGrid,Asahi,41.034,17.144,26.537
2024-02-14T05:03:20,35.691584,139.760738,59.592,TunnelGrid,Mori,40.42,17.373,27.384
2024-02-14T05:03:40,35.686203,139.75712,59.664,SubwayNet,Ayame,41.428,17.005,26.031
2024-02-14T05:04:00,35.689354,139.760657,58.595,SubwayNet,Sora,41.944,17.08,26.772
2024-02-14T05:04:20,35.687403,139.758977,57.343,TunnelGrid,Hinode,45.071,16.894,27.665
2024-02-14T05:04:40,35.689444,139.757956,58.436,UQ Mobile,Kiba,44.575,17.033,28.173
2024-02-14T05:05:00,35.691304,139.758435,57.419,UQ Mobile,Asahi,47.961,16.707,28.28
2024-02-14T05:05:20,35.690597,139.763251,57.84,UQ Mobile,Mori,45.678,16.698,26.882
2024-02-14T05:05:40,35.687575,139.757982,58.436,TunnelGrid,Ayame,48.504,16.542,27.581
2024-02-14T05:06:00,35.692895,139.762895,58.023,UQ Mobile,Sora,49.742,16.337,26.993
2024-02-14T05:06:20,35.688766,139.756222,56.228,SubwayNet,Hinode,49.993,16.649,29.106
2024-02-14T05:06:40,35.690545,139.760957,57.064,UQ Mobile,Kiba,51.705,16.459,28.85
2024-02-14T05:07:00,35.692717,139.759706,58.272,SubwayNet,Asahi,50.848,16.485,28.54
2024-02-14T05:07:20,35.68932,139.756467,57.092,UQ Mobile,Mori,52.223,16.534,29.636
2024-02-14T05:07:40,35.687921,139.761749,57.215,TunnelGrid,Ayame,53.861,16.211,28.371
2024-02-14T05:08:00,35.690213,139.759323,56.808,UQ Mobile,Sora,54.372,16.262,28.989
2024-02-14T05:08:20,35.687709,139.761644,56.713,SubwayNet,Hinode,54.751,16.373,29.96
2024-02-14T05:08:40,35.689189,139.762516,56.41,UQ Mobile,Kiba,58.987,16.084,30.132
2024-02-14T05:09:00,35.688681,139.761764,56.957,UQ Mobile,Asahi,57.695,15.994,28.824
2024-02-14T05:09:20,35.689482,139.763681,57.198,TunnelGrid,Mori,57.765,16.123,29.791
2024-02-14T05:09:40,35.690492,139.760969,56.727,UQ Mobile,Ayame,58.135,15.981,28.949
2024-02-14T05:10:00,35.688378,139.761352,56.327,SubwayNet,Sora,59.461,16.052,30.137
2024-02-14T05:10:20,35.693034,139.759129,55.35,TunnelGrid,Hinode,63.386,15.714,29.445
2024-02-14T05:10:40,35.687116,139.75872,55.272,SubwayNet,Kiba,61.995,15.945,30.594
