time,lattitude,longtitude,connection_strength_data,provider,panel_orientation_deg,sun_altitude_deg,shadow_blockage_ratio,terrain_elevation_m
2024-09-21T05:00:00,36.402728,138.283464,88.915,Alpine Mobile,36,53.807,0.0,2564.29
2024-09-21T05:03:00,36.396224,138.284476,87.476,UQ Mobile,72,53.923,0.0,2603.81
2024-09-21T05:06:00,36.398685,138.27667,89.879,Alpine Mobile,90,54.033,0.0,1132.67
2024-09-21T05:09:00,36.402934,138.27897,88.978,Alpine Mobile,90,54.137,0.0,1841.5
2024-09-21T05:12:00,36.400192,138.275928,86.358,UQ Mobile,18,54.235,0.0,1217.92
2024-09-21T05:15:00,36.406231,138.281136,86.72,UQ Mobile,36,54.327,0.0,2529.89
2024-09-21T05:18:00,36.405436,138.276956,88.172,UQ Mobile,90,54.414,0.0,2149.58
2024-09-21T05:21:00,36.406456,138.276858,88.963,Summit LTE,90,54.494,0.0,2365.19
2024-09-21T05:24:00,36.402574,138.28074,86.694,Summit LTE,72,54.569,0.0,1111.91
2024-09-21T05:27:00,36.405408,138.2801,89.396,UQ Mobile,72,54.638,0.0,2297.24
2024-09-21T05:30:00,36.407069,138.279359,89.888,UQ Mobile,18,54.701,0.0,1794.74
2024-09-21T05:33:00,36.40186,138.280437,86.835,Alpine Mobile,90,54.757,0.0,2292.85
2024-09-21T05:36:00,36.403057,138.281525,89.371,UQ Mobile,72,54.808,0.0,2212.51
2024-09-21T05:39:00,36.404375,138.281817,87.703,UQ Mobile,36,54.853,0.0,2073.49
2024-09-21T05:42:00,36.409296,138.275528,86.86,UQ Mobile,18,54.892,0.0,2373.32
2024-09-21T05:45:00,36.407937,138.282321,86.541,Summit LTE,18,54.925,0.0,1757.76
2024-09-21T05:48:00,36.409961,138.276455,86.982,Alpine Mobile,18,54.952,0.0,2491.59
2024-09-21T05:51:00,36.409366,138.278913,87.222,UQ Mobile,36,54.973,0.0,2312.69
2024-09-21T05:54:00,36.408074,138.279463,89.992,Alpine Mobile,90,54.988,0.0,2123.36
2024-09-21T05:57:00,36.41018,138.276712,87.888,Alpine Mobile,18,54.997,0.0,1188.91
2024-09-21T06:00:00,36.40969,138.279725,89.038,Summit LTE,90,55.0,0.0,1544.16
2024-09-21T06:03:00,36.404872,138.280336,86.649,UQ Mobile,72,54.997,0.0,1935.06
2024-09-21T06:06:00,36.403939,138.274928,88.44,Alpine Mobile,18,54.988,0.0,1285.99
2024-09-21T06:09:00,36.410688,138.275224,88.389,Alpine Mobile,72,54.973,0.0,1997.11
2024-09-21T06:12:00,36.412812,138.281423,88.04,Alpine Mobile,90,54.952,0.0,1739.27
