time,lattitude,longtitude,connection_strength_data,provider,satellite_slot,alignment_angle_deg,backhaul_bandwidth_mbps,phase_error_deg
2024-08-13T00:00:00,13.698006,144.847569,60.757,Orbital Mobile,167E,-2.067,290.109,8.336
2024-08-13T00:01:30,13.701277,144.847234,56.75,UQ Mobile,170E,-0.644,295.347,8.287
2024-08-13T00:03:00,13.700758,144.851083,57.999,SkyReach,174E,-1.099,293.026,7.73
2024-08-13T00:04:30,13.70439,144.850419,61.215,SkyReach,178E,-2.12,296.109,7.502
2024-08-13T00:06:00,13.705611,144.850782,56.674,UQ Mobile,167E,-0.655,293.17,7.978
2024-08-13T00:07:30,13.70131,144.848017,59.689,SkyReach,170E,-1.606,296.442,7.948
2024-08-13T00:09:00,13.706589,144.850366,55.978,SkyReach,174E,-0.463,290.754,7.865
2024-08-13T00:10:30,13.705074,144.851924,55.793,UQ Mobile,178E,-0.252,299.759,7.501
2024-08-13T00:12:00,13.708726,144.84886,55.012,SkyReach,167E,-0.028,297.555,7.561
2024-08-13T00:13:30,13.707014,144.846695,55.064,Orbital Mobile,170E,-0.151,291.201,8.008
2024-08-13T00:15:00,13.709603,144.852221,56.562,Orbital Mobile,174E,0.51,299.643,8.237
2024-08-13T00:16:30,13.706919,144.847025,57.131,SkyReach,178E,0.736,297.481,7.461
2024-08-13T00:18:00,13.707524,144.850822,56.52,SkyReach,167E,0.6,293.375,7.36
2024-08-13T00:19:30,13.70859,144.846402,55.519,Orbital Mobile,170E,-0.264,293.565,7.74
2024-08-13T00:21:00,13.710478,144.846314,55.006,SkyReach,174E,0.131,291.236,7.683
2024-08-13T00:22:30,13.713925,144.84951,56.677,UQ Mobile,178E,-0.605,296.239,7.393
2024-08-13T00:24:00,13.715894,144.850556,57.555,SkyReach,167E,-0.947,293.294,7.41
2024-08-13T00:25:30,13.711786,144.848651,55.936,UQ Mobile,170E,0.426,292.14,7.36
2024-08-13T00:27:00,13.71522,144.84516,55.567,UQ Mobile,174E,-0.322,291.011,7.35
2024-08-13T00:28:30,13.718032,144.846778,59.907,Orbital Mobile,178E,1.75,292.152,6.693
2024-08-13T00:30:00,13.7151,144.846914,56.869,SkyReach,167E,0.628,298.682,6.665
2024-08-13T00:31:30,13.714604,144.845783,60.574,Orbital Mobile,170E,2.009,289.972,6.842
2024-08-13T00:33:00,13.720544,144.845044,55.43,SkyReach,174E,0.282,290.699,6.712
2024-08-13T00:34:30,13.71922,144.844549,57.259,SkyReach,178E,0.89,290.78,6.805
2024-08-13T00:36:00,13.720486,144.847826,57.982,Orbital Mobile,167E,1.041,296.16,6.267
2024-08-13T00:37:30,13.719996,144.843632,59.679,Orbital Mobile,170E,1.676,291.992,6.408
2024-08-13T00:39:00,13.719197,144.844558,56.81,SkyReach,174E,0.655,295.915,6.607
2024-08-13T00:40:30,13.721692,144.842809,60.82,SkyReach,178E,1.963,297.628,6.047
2024-08-13T00:42:00,13.72449,144.846852,60.448,Orbital Mobile,167E,1.88,295.169,5.771
2024-08-13T00:43:30,13.721637,144.844456,64.323,Orbital Mobile,170E,3.184,294.398,6.176
2024-08-13T00:45:00,13.723988,144.843861,64.212,UQ Mobile,174E,3.211,290.596,6.054
2024-08-13T00:46:30,13.722595,144.842521,59.132,UQ Mobile,178E,1.521,290.394,5.883
2024-08-13T00:48:00,13.72582,144.840797,65.247,UQ Mobile,167E,3.562,290.217,5.356
2024-08-13T00:49:30,13.725913,144.842635,60.22,UQ Mobile,170E,1.744,298.729,5.195
2024-08-13T00:51:00,13.724761,144.840235,66.266,SkyReach,174E,3.838,294.036,5.609
2024-08-13T00:52:30,13.724936,144.839089,59.197,SkyReach,178E,1.466,294.958,5.393
2024-08-13T00:54:00,13.726111,144.838841,63.525,Orbital Mobile,167E,2.88,296.674,5.391
2024-08-13T00:55:30,13.726488,144.843431,72.381,Orbital Mobile,170E,4.031,286.622,4.867
2024-08-13T00:57:00,13.728225,144.838848,63.178,SkyReach,174E,2.84,292.131,4.657
2024-08-13T00:58:30,13.728359,144.838022,72.462,Orbital Mobile,178E,4.076,288.23,4.96
2024-08-13T01:00:00,13.728043,144.84178,72.272,UQ Mobile,167E,4.426,284.443,4.334
2024-08-13T01:01:30,13.732689,144.836075,63.188,SkyReach,170E,2.754,297.527,4.454
2024-08-13T01:03:00,13.734661,144.835784,63.677,UQ Mobile,174E,3.007,292.097,3.8
2024-08-13T01:04:30,13.731801,144.836569,72.396,Orbital Mobile,178E,5.099,286.911,3.648
2024-08-13T01:06:00,13.731696,144.836582,72.465,SkyReach,167E,4.842,288.302,3.837
2024-08-13T01:07:30,13.733028,144.834859,66.162,UQ Mobile,170E,3.842,291.692,3.161
2024-08-13T01:09:00,13.734441,144.836652,72.421,SkyReach,174E,4.916,287.417,3.701
2024-08-13T01:10:30,13.737839,144.834407,64.913,UQ Mobile,178E,3.379,294.495,3.446
2024-08-13T01:12:00,13.737699,144.833965,72.583,UQ Mobile,167E,4.584,290.66,2.542
2024-08-13T01:13:30,13.737061,144.835011,72.744,Orbital Mobile,170E,4.031,293.887,2.543
2024-08-13T01:15:00,13.736046,144.833203,72.281,Orbital Mobile,174E,6.07,284.627,2.393
2024-08-13T01:16:30,13.736333,144.834281,72.172,UQ Mobile,178E,6.049,282.432,2.715
2024-08-13T01:18:00,13.735445,144.834649,72.197,SkyReach,167E,5.166,282.95,2.009
2024-08-13T01:19:30,13.738236,144.831542,65.576,SkyReach,170E,3.64,292.102,1.609
2024-08-13T01:21:00,13.741137,144.829977,72.16,Orbital Mobile,174E,5.703,282.192,2.087
2024-08-13T01:22:30,13.739098,144.831944,72.646,SkyReach,178E,4.877,291.925,1.096
2024-08-13T01:24:00,13.742745,144.83088,71.906,UQ Mobile,167E,6.706,277.123,0.922
2024-08-13T01:25:30,13.740024,144.827052,72.288,Orbital Mobile,170E,4.802,284.764,0.981
2024-08-13T01:27:00,13.738501,144.825688,72.238,SkyReach,174E,4.753,283.763,0.534
2024-08-13T01:28:30,13.742152,144.826834,72.415,UQ Mobile,178E,4.295,287.301,0.952
2024-08-13T01:30:00,13.743242,144.827428,72.068,UQ Mobile,167E,6.845,280.35,0.073
2024-08-13T01:31:30,13.739691,144.825477,72.392,SkyReach,170E,5.256,286.833,0.603
2024-08-13T01:33:00,13.742909,144.828518,72.054,Orbital Mobile,174E,7.28,280.075,0.157
2024-08-13T01:34:30,13.743343,144.82193,72.274,Orbital Mobile,178E,5.58,284.471,0.402
2024-08-13T01:36:00,13.745683,144.825165,72.479,UQ Mobile,167E,6.01,288.587,0.018
2024-08-13T01:37:30,13.743997,144.825372,72.541,SkyReach,170E,5.369,289.813,-0.651
2024-08-13T01:39:00,13.746006,144.820627,72.666,SkyReach,174E,4.928,292.317,-1.096
2024-08-13T01:40:30,13.747131,144.822894,72.346,Orbital Mobile,178E,5.167,285.913,-1.24
2024-08-13T01:42:00,13.745687,144.81984,72.465,Orbital Mobile,167E,5.787,288.302,-0.873
2024-08-13T01:43:30,13.748256,144.822461,71.906,Orbital Mobile,170E,8.019,277.123,-1.136
2024-08-13T01:45:00,13.747332,144.817834,71.768,SkyReach,174E,7.65,274.352,-1.89
2024-08-13T01:46:30,13.747665,144.820676,72.259,SkyReach,178E,6.278,284.177,-1.212
2024-08-13T01:48:00,13.748883,144.815378,71.663,Orbital Mobile,167E,8.098,272.264,-2.044
2024-08-13T01:49:30,13.746644,144.820237,72.188,Orbital Mobile,170E,5.529,282.758,-1.977
2024-08-13T01:51:00,13.749441,144.815416,71.889,Orbital Mobile,174E,7.617,276.782,-1.787
2024-08-13T01:52:30,13.747812,144.813892,71.921,UQ Mobile,178E,7.787,277.415,-2.241
2024-08-13T01:54:00,13.74797,144.817069,72.172,UQ Mobile,167E,6.63,282.448,-2.109
2024-08-13T01:55:30,13.75045,144.814307,71.772,UQ Mobile,170E,8.247,274.44,-2.53
2024-08-13T01:57:00,13.749679,144.815233,71.729,Orbital Mobile,174E,8.74,273.578,-2.744
2024-08-13T01:58:30,13.745885,144.812817,72.264,Orbital Mobile,178E,6.281,284.277,-2.696
2024-08-13T02:00:00,13.748561,144.813609,72.171,SkyReach,167E,6.43,282.419,-3.344
2024-08-13T02:01:30,13.749219,144.810085,72.094,SkyReach,170E,6.3,280.872,-3.252
2024-08-13T02:03:00,13.746466,144.812892,71.754,SkyReach,174E,9.0,274.086,-3.29
2024-08-13T02:04:30,13.751751,144.809962,72.035,SkyReach,178E,6.569,279.704,-3.525
2024-08-13T02:06:00,13.750958,144.807368,72.033,SkyReach,167E,7.496,279.662,-4.033
2024-08-13T02:07:30,13.750772,144.809488,71.654,SkyReach,170E,9.121,272.085,-4.487
2024-08-13T02:09:00,13.747169,144.807755,71.922,SkyReach,174E,8.365,277.449,-4.282
2024-08-13T02:10:30,13.75243,144.808779,71.713,SkyReach,178E,7.714,273.255,-4.842
2024-08-13T02:12:00,13.749139,144.808113,71.557,SkyReach,167E,8.838,270.138,-4.891
2024-08-13T02:13:30,13.750321,144.802737,71.936,Orbital Mobile,170E,8.85,277.726,-5.032
2024-08-13T02:15:00,13.752405,144.805345,71.542,Orbital Mobile,174E,9.768,269.844,-5.271
2024-08-13T02:16:30,13.747892,144.802705,71.663,SkyReach,178E,8.44,272.263,-5.425
2024-08-13T02:18:00,13.750818,144.802068,71.616,SkyReach,167E,9.349,271.32,-5.454
