time,lattitude,longtitude,connection_strength_data,provider,storm_cell_id,humidity_percent,rain_rate_mm_per_hr,microburst_flag
2024-07-17T12:00:00,25.05595,123.91909,38.812,Typhoon Mobile,SC-11,105.67,13.637,false
2024-07-17T12:01:00,24.79481,123.74358,51.567,Stratus Wireless,SC-12,78.92,12.398,false
2024-07-17T12:02:00,24.89406,123.89712,61.113,UQ Mobile,SC-21,56.74,2.511,false
2024-07-17T12:03:00,24.74855,123.87616,41.617,Typhoon Mobile,SC-34,85.02,23.789,false
2024-07-17T12:04:00,25.01241,123.79796,57.095,UQ Mobile,SC-40,65.72,7.674,false
2024-07-17T12:05:00,25.09739,124.07843,34.332,UQ Mobile,SC-11,84.61,20.295,false
2024-07-17T12:06:00,24.69766,124.14679,51.019,UQ Mobile,SC-12,72.32,15.91,false
2024-07-17T12:07:00,24.81505,124.15799,40.795,UQ Mobile,SC-21,96.5,23.762,false
2024-07-17T12:08:00,24.54082,124.009,63.418,UQ Mobile,SC-34,63.95,1.065,false
2024-07-17T12:09:00,25.09719,124.06405,53.135,Stratus Wireless,SC-40,84.04,11.495,false
2024-07-17T12:10:00,24.97672,123.95662,42.363,UQ Mobile,SC-11,73.81,11.337,false
2024-07-17T12:11:00,24.85416,123.9575,58.882,Typhoon Mobile,SC-12,67.42,3.588,false
2024-07-17T12:12:00,25.03265,123.67539,59.816,UQ Mobile,SC-21,94.23,1.503,false
2024-07-17T12:13:00,24.99641,124.04973,60.759,Stratus Wireless,SC-34,61.02,3.598,false
2024-07-17T12:14:00,24.55498,123.7186,29.766,UQ Mobile,SC-40,94.83,13.853,true
2024-07-17T12:15:00,24.6787,123.63572,42.784,Stratus Wireless,SC-11,109.4,6.382,false
2024-07-17T12:16:00,24.62981,123.89652,52.016,Stratus Wireless,SC-12,79.95,10.942,false
2024-07-17T12:17:00,25.0858,123.73517,61.114,UQ Mobile,SC-21,58.48,3.36,false
2024-07-17T12:18:00,24.88531,123.65515,62.464,Stratus Wireless,SC-34,58.33,2.437,false
2024-07-17T12:19:00,24.93239,123.94827,64.302,Stratus Wireless,SC-40,60.29,0.789,false
2024-07-17T12:20:00,24.81454,123.82768,37.399,UQ Mobile,SC-11,106.09,13.271,false
2024-07-17T12:21:00,24.6522,123.83272,48.227,UQ Mobile,SC-12,89.02,14.886,false
2024-07-17T12:22:00,24.94562,124.12742,45.727,Typhoon Mobile,SC-21,81.86,18.906,false
2024-07-17T12:23:00,24.76218,123.68785,43.145,UQ Mobile,SC-34,83.91,21.435,false
2024-07-17T12:24:00,24.62436,124.02582,60.136,Typhoon Mobile,SC-40,67.69,3.811,false
2024-07-17T12:25:00,24.88861,124.07094,30.819,Typhoon Mobile,SC-11,106.51,19.946,false
2024-07-17T12:26:00,24.93095,123.69594,60.11,UQ Mobile,SC-12,68.96,2.934,false
2024-07-17T12:27:00,24.77536,124.04657,53.367,Stratus Wireless,SC-21,75.6,11.065,false
2024-07-17T12:28:00,24.85186,124.01966,62.325,Typhoon Mobile,SC-34,66.01,0.703,false
2024-07-17T12:29:00,25.06097,123.85668,58.592,UQ Mobile,SC-40,69.22,3.339,false
2024-07-17T12:30:00,24.92049,124.11278,24.813,Stratus Wireless,SC-11,89.93,10.875,true
2024-07-17T12:31:00,24.87439,123.63091,52.907,UQ Mobile,SC-12,79.96,10.961,false
2024-07-17T12:32:00,24.67675,124.15254,57.493,Stratus Wireless,SC-21,68.2,5.298,false
2024-07-17T12:33:00,24.50521,124.04698,45.087,UQ Mobile,SC-34,75.3,20.302,false
2024-07-17T12:34:00,24.79885,123.67344,61.354,Typhoon Mobile,SC-40,60.45,3.789,false
2024-07-17T12:35:00,24.9924,124.18728,32.521,Stratus Wireless,SC-11,79.02,23.359,false
2024-07-17T12:36:00,24.94827,123.67162,28.622,Stratus Wireless,SC-12,93.09,17.284,true
2024-07-17T12:37:00,24.96203,123.73846,58.718,Typhoon Mobile,SC-21,64.23,4.746,false
2024-07-17T12:38:00,24.53165,123.76245,49.018,Typhoon Mobile,SC-34,70.69,17.605,false
2024-07-17T12:39:00,24.76503,123.95226,47.99,UQ Mobile,SC-40,85.1,16.178,false
2024-07-17T12:40:00,24.58424,123.71584,44.912,Stratus Wireless,SC-11,76.19,6.829,false
2024-07-17T12:41:00,24.55631,124.0615,51.965,Stratus Wireless,SC-12,75.11,13.799,false
2024-07-17T12:42:00,24.86994,124.03157,58.805,UQ Mobile,SC-21,69.85,3.643,false
2024-07-17T12:43:00,25.00622,123.78633,30.639,Typhoon Mobile,SC-34,90.94,12.469,true
2024-07-17T12:44:00,24.86834,123.87293,33.764,UQ Mobile,SC-40,95.75,7.812,true
2024-07-17T12:45:00,24.97862,124.09085,34.557,Typhoon Mobile,SC-11,99.43,17.265,false
2024-07-17T12:46:00,24.71123,123.95559,47.85,Typhoon Mobile,SC-12,97.86,12.896,false
2024-07-17T12:47:00,24.63758,123.75569,50.954,UQ Mobile,SC-21,98.48,10.985,false
2024-07-17T12:48:00,24.89003,123.60903,48.332,Stratus Wireless,SC-34,73.93,15.74,false
2024-07-17T12:49:00,24.67485,124.0261,34.675,UQ Mobile,SC-40,93.34,8.049,true
2024-07-17T12:50:00,24.85391,124.03884,42.734,Typhoon Mobile,SC-11,83.54,9.891,false
2024-07-17T12:51:00,25.038,124.11513,46.659,UQ Mobile,SC-12,98.09,15.754,false
2024-07-17T12:52:00,24.83513,124.15562,57.78,Stratus Wireless,SC-21,79.12,3.072,false
2024-07-17T12:53:00,24.60432,123.78102,58.135,Typhoon Mobile,SC-34,65.59,6.471,false
2024-07-17T12:54:00,24.75868,123.89861,50.622,UQ Mobile,SC-40,73.81,14.72,false
2024-07-17T12:55:00,24.68695,123.72511,32.253,UQ Mobile,SC-11,94.79,19.989,false
2024-07-17T12:56:00,24.86556,123.85557,57.525,UQ Mobile,SC-12,58.77,7.373,false
2024-07-17T12:57:00,24.51551,123.88515,52.662,Stratus Wireless,SC-21,80.83,12.291,false
2024-07-17T12:58:00,24.76957,123.95084,58.509,Typhoon Mobile,SC-34,68.05,4.704,false
